Sept. 5, 2019   15:05:42
Cyclic Voltammetry
File: c:\users\1\desktop\2019Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = 0.6
High E (V) = 0.6
Low E (V) = -0.2
Init P/N = N
Scan Rate (V/s) = 0.04
Segment = 2
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:
Ep = 0.199V
ip = 2.151e-5A
Ah = 3.650e-5C

Segment 2:
Ep = 0.275V
ip = -2.191e-5A
Ah = -3.723e-5C

Potential/V, Current/A

0.599, -2.906e-6
0.597, -2.792e-6
0.595, -2.728e-6
0.593, -2.674e-6
0.591, -2.625e-6
0.589, -2.579e-6
0.587, -2.537e-6
0.585, -2.495e-6
0.583, -2.456e-6
0.581, -2.418e-6
0.579, -2.382e-6
0.577, -2.346e-6
0.575, -2.313e-6
0.573, -2.279e-6
0.571, -2.247e-6
0.569, -2.216e-6
0.567, -2.186e-6
0.565, -2.157e-6
0.563, -2.130e-6
0.561, -2.102e-6
0.559, -2.075e-6
0.557, -2.049e-6
0.555, -2.023e-6
0.553, -1.998e-6
0.551, -1.973e-6
0.549, -1.951e-6
0.547, -1.928e-6
0.545, -1.904e-6
0.543, -1.882e-6
0.541, -1.861e-6
0.539, -1.839e-6
0.537, -1.819e-6
0.535, -1.797e-6
0.533, -1.777e-6
0.531, -1.757e-6
0.529, -1.738e-6
0.527, -1.719e-6
0.525, -1.700e-6
0.523, -1.682e-6
0.521, -1.664e-6
0.519, -1.646e-6
0.517, -1.628e-6
0.515, -1.611e-6
0.513, -1.594e-6
0.511, -1.577e-6
0.509, -1.561e-6
0.507, -1.544e-6
0.505, -1.528e-6
0.503, -1.512e-6
0.501, -1.497e-6
0.499, -1.482e-6
0.497, -1.467e-6
0.495, -1.452e-6
0.493, -1.437e-6
0.491, -1.423e-6
0.489, -1.408e-6
0.487, -1.394e-6
0.485, -1.381e-6
0.483, -1.367e-6
0.481, -1.353e-6
0.479, -1.340e-6
0.477, -1.327e-6
0.475, -1.314e-6
0.473, -1.301e-6
0.471, -1.288e-6
0.469, -1.275e-6
0.467, -1.262e-6
0.465, -1.250e-6
0.463, -1.237e-6
0.461, -1.225e-6
0.459, -1.213e-6
0.457, -1.201e-6
0.455, -1.188e-6
0.453, -1.177e-6
0.451, -1.165e-6
0.449, -1.152e-6
0.447, -1.141e-6
0.445, -1.129e-6
0.443, -1.117e-6
0.441, -1.105e-6
0.439, -1.093e-6
0.437, -1.081e-6
0.435, -1.070e-6
0.433, -1.057e-6
0.431, -1.046e-6
0.429, -1.034e-6
0.427, -1.021e-6
0.425, -1.009e-6
0.423, -9.966e-7
0.421, -9.852e-7
0.419, -9.718e-7
0.417, -9.588e-7
0.415, -9.460e-7
0.413, -9.330e-7
0.411, -9.192e-7
0.409, -9.056e-7
0.407, -8.915e-7
0.405, -8.773e-7
0.403, -8.624e-7
0.401, -8.466e-7
0.399, -8.314e-7
0.397, -8.157e-7
0.395, -7.990e-7
0.393, -7.812e-7
0.391, -7.633e-7
0.389, -7.441e-7
0.387, -7.249e-7
0.385, -7.040e-7
0.383, -6.841e-7
0.381, -6.616e-7
0.379, -6.385e-7
0.377, -6.140e-7
0.375, -5.886e-7
0.373, -5.630e-7
0.371, -5.351e-7
0.369, -5.049e-7
0.367, -4.737e-7
0.365, -4.408e-7
0.363, -4.053e-7
0.361, -3.693e-7
0.359, -3.304e-7
0.357, -2.906e-7
0.355, -2.456e-7
0.353, -1.978e-7
0.351, -1.489e-7
0.349, -9.637e-8
0.347, -3.991e-8
0.345, 1.960e-8
0.343, 8.526e-8
0.341, 1.530e-7
0.339, 2.255e-7
0.337, 3.029e-7
0.335, 3.851e-7
0.333, 4.741e-7
0.331, 5.647e-7
0.329, 6.657e-7
0.327, 7.722e-7
0.325, 8.873e-7
0.323, 1.007e-6
0.321, 1.136e-6
0.319, 1.269e-6
0.317, 1.414e-6
0.315, 1.571e-6
0.313, 1.737e-6
0.311, 1.913e-6
0.309, 2.098e-6
0.307, 2.295e-6
0.305, 2.507e-6
0.303, 2.727e-6
0.301, 2.961e-6
0.299, 3.210e-6
0.297, 3.472e-6
0.295, 3.749e-6
0.293, 4.033e-6
0.291, 4.343e-6
0.289, 4.664e-6
0.287, 5.004e-6
0.285, 5.358e-6
0.283, 5.727e-6
0.281, 6.108e-6
0.279, 6.512e-6
0.277, 6.928e-6
0.275, 7.363e-6
0.273, 7.812e-6
0.271, 8.277e-6
0.269, 8.753e-6
0.267, 9.235e-6
0.265, 9.742e-6
0.263, 1.026e-5
0.261, 1.078e-5
0.259, 1.131e-5
0.257, 1.185e-5
0.255, 1.239e-5
0.253, 1.293e-5
0.251, 1.348e-5
0.249, 1.403e-5
0.247, 1.457e-5
0.245, 1.511e-5
0.243, 1.563e-5
0.241, 1.614e-5
0.239, 1.665e-5
0.237, 1.715e-5
0.235, 1.762e-5
0.233, 1.808e-5
0.231, 1.853e-5
0.229, 1.892e-5
0.227, 1.931e-5
0.225, 1.968e-5
0.223, 2.002e-5
0.221, 2.033e-5
0.219, 2.061e-5
0.217, 2.086e-5
0.215, 2.108e-5
0.213, 2.128e-5
0.211, 2.145e-5
0.209, 2.158e-5
0.207, 2.169e-5
0.205, 2.177e-5
0.203, 2.182e-5
0.201, 2.185e-5
0.199, 2.185e-5
0.197, 2.183e-5
0.195, 2.179e-5
0.193, 2.173e-5
0.191, 2.165e-5
0.189, 2.155e-5
0.187, 2.144e-5
0.185, 2.131e-5
0.183, 2.118e-5
0.181, 2.103e-5
0.179, 2.086e-5
0.177, 2.069e-5
0.175, 2.051e-5
0.173, 2.033e-5
0.171, 2.014e-5
0.169, 1.995e-5
0.167, 1.976e-5
0.165, 1.956e-5
0.163, 1.936e-5
0.161, 1.916e-5
0.159, 1.896e-5
0.157, 1.876e-5
0.155, 1.856e-5
0.153, 1.836e-5
0.151, 1.816e-5
0.149, 1.796e-5
0.147, 1.777e-5
0.145, 1.758e-5
0.143, 1.739e-5
0.141, 1.721e-5
0.139, 1.702e-5
0.137, 1.685e-5
0.135, 1.667e-5
0.133, 1.650e-5
0.131, 1.633e-5
0.129, 1.617e-5
0.127, 1.600e-5
0.125, 1.584e-5
0.123, 1.569e-5
0.121, 1.554e-5
0.119, 1.539e-5
0.117, 1.525e-5
0.115, 1.511e-5
0.113, 1.497e-5
0.111, 1.483e-5
0.109, 1.470e-5
0.107, 1.458e-5
0.105, 1.445e-5
0.103, 1.433e-5
0.101, 1.421e-5
0.099, 1.409e-5
0.097, 1.398e-5
0.095, 1.387e-5
0.093, 1.376e-5
0.091, 1.366e-5
0.089, 1.355e-5
0.087, 1.345e-5
0.085, 1.335e-5
0.083, 1.326e-5
0.081, 1.316e-5
0.079, 1.307e-5
0.077, 1.298e-5
0.075, 1.289e-5
0.073, 1.281e-5
0.071, 1.273e-5
0.069, 1.264e-5
0.067, 1.256e-5
0.065, 1.249e-5
0.063, 1.241e-5
0.061, 1.233e-5
0.059, 1.226e-5
0.057, 1.219e-5
0.055, 1.212e-5
0.053, 1.205e-5
0.051, 1.198e-5
0.049, 1.192e-5
0.047, 1.185e-5
0.045, 1.179e-5
0.043, 1.173e-5
0.041, 1.167e-5
0.039, 1.161e-5
0.037, 1.155e-5
0.035, 1.149e-5
0.033, 1.143e-5
0.031, 1.138e-5
0.029, 1.132e-5
0.027, 1.127e-5
0.025, 1.122e-5
0.023, 1.117e-5
0.021, 1.112e-5
0.019, 1.107e-5
0.017, 1.102e-5
0.015, 1.097e-5
0.013, 1.092e-5
0.011, 1.088e-5
0.009, 1.083e-5
0.007, 1.079e-5
0.005, 1.074e-5
0.003, 1.070e-5
0.001, 1.066e-5
-0.001, 1.062e-5
-0.003, 1.058e-5
-0.005, 1.054e-5
-0.007, 1.050e-5
-0.009, 1.046e-5
-0.011, 1.042e-5
-0.013, 1.038e-5
-0.015, 1.034e-5
-0.017, 1.031e-5
-0.019, 1.027e-5
-0.021, 1.024e-5
-0.023, 1.020e-5
-0.025, 1.017e-5
-0.027, 1.013e-5
-0.029, 1.010e-5
-0.031, 1.007e-5
-0.033, 1.003e-5
-0.035, 1.000e-5
-0.037, 9.971e-6
-0.039, 9.940e-6
-0.041, 9.910e-6
-0.043, 9.880e-6
-0.045, 9.850e-6
-0.047, 9.821e-6
-0.049, 9.793e-6
-0.051, 9.765e-6
-0.053, 9.737e-6
-0.055, 9.710e-6
-0.057, 9.683e-6
-0.059, 9.657e-6
-0.061, 9.631e-6
-0.063, 9.606e-6
-0.065, 9.579e-6
-0.067, 9.555e-6
-0.069, 9.530e-6
-0.071, 9.507e-6
-0.073, 9.483e-6
-0.075, 9.458e-6
-0.077, 9.435e-6
-0.079, 9.412e-6
-0.081, 9.390e-6
-0.083, 9.368e-6
-0.085, 9.347e-6
-0.087, 9.326e-6
-0.089, 9.305e-6
-0.091, 9.283e-6
-0.093, 9.265e-6
-0.095, 9.245e-6
-0.097, 9.225e-6
-0.099, 9.206e-6
-0.101, 9.188e-6
-0.103, 9.169e-6
-0.105, 9.151e-6
-0.107, 9.133e-6
-0.109, 9.116e-6
-0.111, 9.099e-6
-0.113, 9.082e-6
-0.115, 9.066e-6
-0.117, 9.050e-6
-0.119, 9.034e-6
-0.121, 9.020e-6
-0.123, 9.004e-6
-0.125, 8.989e-6
-0.127, 8.975e-6
-0.129, 8.960e-6
-0.131, 8.947e-6
-0.133, 8.934e-6
-0.135, 8.921e-6
-0.137, 8.909e-6
-0.139, 8.896e-6
-0.141, 8.884e-6
-0.143, 8.875e-6
-0.145, 8.863e-6
-0.147, 8.853e-6
-0.149, 8.843e-6
-0.151, 8.834e-6
-0.153, 8.824e-6
-0.155, 8.814e-6
-0.157, 8.807e-6
-0.159, 8.800e-6
-0.161, 8.793e-6
-0.163, 8.787e-6
-0.165, 8.782e-6
-0.167, 8.776e-6
-0.169, 8.773e-6
-0.171, 8.768e-6
-0.173, 8.767e-6
-0.175, 8.764e-6
-0.177, 8.763e-6
-0.179, 8.762e-6
-0.181, 8.762e-6
-0.183, 8.764e-6
-0.185, 8.767e-6
-0.187, 8.770e-6
-0.189, 8.775e-6
-0.191, 8.781e-6
-0.193, 8.787e-6
-0.195, 8.795e-6
-0.197, 8.805e-6
-0.199, 8.817e-6
-0.199, 8.582e-6
-0.197, 8.287e-6
-0.195, 8.151e-6
-0.193, 8.045e-6
-0.191, 7.956e-6
-0.189, 7.874e-6
-0.187, 7.801e-6
-0.185, 7.734e-6
-0.183, 7.671e-6
-0.181, 7.612e-6
-0.179, 7.558e-6
-0.177, 7.504e-6
-0.175, 7.455e-6
-0.173, 7.407e-6
-0.171, 7.361e-6
-0.169, 7.320e-6
-0.167, 7.279e-6
-0.165, 7.239e-6
-0.163, 7.198e-6
-0.161, 7.160e-6
-0.159, 7.122e-6
-0.157, 7.086e-6
-0.155, 7.051e-6
-0.153, 7.016e-6
-0.151, 6.982e-6
-0.149, 6.950e-6
-0.147, 6.920e-6
-0.145, 6.888e-6
-0.143, 6.859e-6
-0.141, 6.830e-6
-0.139, 6.803e-6
