Sept. 5, 2019   15:33:37
Cyclic Voltammetry
File: c:\users\1\desktop\2019Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = 0.6
High E (V) = 0.6
Low E (V) = -0.2
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 2
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:

Potential/V, Current/A

0.599, -6.742e-7
0.597, -6.236e-7
0.595, -5.911e-7
0.593, -5.639e-7
0.591, -5.395e-7
0.589, -5.171e-7
0.587, -4.961e-7
0.585, -4.768e-7
0.583, -4.584e-7
0.581, -4.411e-7
0.579, -4.246e-7
0.577, -4.089e-7
0.575, -3.947e-7
0.573, -3.815e-7
0.571, -3.691e-7
0.569, -3.568e-7
0.567, -3.442e-7
0.565, -3.324e-7
0.563, -3.212e-7
0.561, -3.099e-7
0.559, -2.996e-7
0.557, -2.896e-7
0.555, -2.801e-7
0.553, -2.706e-7
0.551, -2.615e-7
0.549, -2.529e-7
0.547, -2.441e-7
0.545, -2.357e-7
0.543, -2.279e-7
0.541, -2.202e-7
0.539, -2.125e-7
0.537, -2.055e-7
0.535, -1.983e-7
0.533, -1.914e-7
0.531, -1.846e-7
0.529, -1.781e-7
0.527, -1.719e-7
0.525, -1.662e-7
0.523, -1.601e-7
0.521, -1.542e-7
0.519, -1.484e-7
0.517, -1.428e-7
0.515, -1.372e-7
0.513, -1.316e-7
0.511, -1.264e-7
0.509, -1.216e-7
0.507, -1.163e-7
0.505, -1.113e-7
0.503, -1.063e-7
0.501, -1.015e-7
0.499, -9.712e-8
0.497, -9.238e-8
0.495, -8.800e-8
0.493, -8.354e-8
0.491, -7.903e-8
0.489, -7.480e-8
0.487, -7.056e-8
0.485, -6.670e-8
0.483, -6.249e-8
0.481, -5.842e-8
0.479, -5.446e-8
0.477, -5.053e-8
0.475, -4.673e-8
0.473, -4.309e-8
0.471, -3.929e-8
0.469, -3.576e-8
0.467, -3.208e-8
0.465, -2.866e-8
0.463, -2.497e-8
0.461, -2.183e-8
0.459, -1.828e-8
0.457, -1.475e-8
0.455, -1.149e-8
0.453, -8.209e-9
0.451, -4.979e-9
0.449, -1.670e-9
0.447, 9.769e-10
0.445, 4.238e-9
0.443, 7.547e-9
0.441, 1.060e-8
0.439, 1.366e-8
0.437, 1.647e-8
0.435, 1.968e-8
0.433, 2.291e-8
0.431, 2.587e-8
0.429, 2.892e-8
0.427, 3.197e-8
0.425, 3.468e-8
0.423, 3.741e-8
0.421, 3.994e-8
0.419, 4.292e-8
0.417, 4.579e-8
0.415, 4.830e-8
0.413, 5.097e-8
0.411, 5.389e-8
0.409, 5.646e-8
0.407, 5.905e-8
0.405, 6.157e-8
0.403, 6.427e-8
0.401, 6.689e-8
0.399, 6.938e-8
0.397, 7.164e-8
0.395, 7.428e-8
0.393, 7.678e-8
0.391, 7.941e-8
0.389, 8.173e-8
0.387, 8.432e-8
0.385, 8.680e-8
0.383, 8.885e-8
0.381, 9.142e-8
0.379, 9.396e-8
0.377, 9.645e-8
0.375, 9.884e-8
0.373, 1.011e-7
0.371, 1.034e-7
0.369, 1.059e-7
0.367, 1.082e-7
0.365, 1.102e-7
0.363, 1.129e-7
0.361, 1.140e-7
0.359, 1.154e-7
0.357, 1.186e-7
0.355, 1.217e-7
0.353, 1.244e-7
0.351, 1.267e-7
0.349, 1.289e-7
0.347, 1.316e-7
0.345, 1.337e-7
0.343, 1.361e-7
0.341, 1.385e-7
0.339, 1.408e-7
0.337, 1.433e-7
0.335, 1.454e-7
0.333, 1.477e-7
0.331, 1.502e-7
0.329, 1.527e-7
0.327, 1.550e-7
0.325, 1.573e-7
0.323, 1.599e-7
0.321, 1.625e-7
0.319, 1.643e-7
0.317, 1.670e-7
0.315, 1.697e-7
0.313, 1.720e-7
0.311, 1.744e-7
0.309, 1.769e-7
0.307, 1.795e-7
0.305, 1.821e-7
0.303, 1.845e-7
0.301, 1.869e-7
0.299, 1.898e-7
0.297, 1.921e-7
0.295, 1.948e-7
0.293, 1.972e-7
0.291, 2.001e-7
0.289, 2.028e-7
0.287, 2.054e-7
0.285, 2.080e-7
0.283, 2.109e-7
0.281, 2.133e-7
0.279, 2.161e-7
0.277, 2.187e-7
0.275, 2.215e-7
0.273, 2.241e-7
0.271, 2.270e-7
0.269, 2.297e-7
0.267, 2.328e-7
0.265, 2.356e-7
0.263, 2.386e-7
0.261, 2.413e-7
0.259, 2.444e-7
0.257, 2.475e-7
0.255, 2.500e-7
0.253, 2.530e-7
0.251, 2.561e-7
0.249, 2.591e-7
0.247, 2.618e-7
0.245, 2.647e-7
0.243, 2.675e-7
0.241, 2.706e-7
0.239, 2.733e-7
0.237, 2.760e-7
0.235, 2.792e-7
0.233, 2.817e-7
0.231, 2.844e-7
0.229, 2.867e-7
0.227, 2.899e-7
0.225, 2.925e-7
0.223, 2.949e-7
0.221, 2.976e-7
0.219, 3.003e-7
0.217, 3.024e-7
0.215, 3.051e-7
0.213, 3.074e-7
0.211, 3.100e-7
0.209, 3.123e-7
0.207, 3.144e-7
0.205, 3.165e-7
0.203, 3.190e-7
0.201, 3.209e-7
0.199, 3.233e-7
0.197, 3.251e-7
0.195, 3.275e-7
0.193, 3.296e-7
0.191, 3.326e-7
0.189, 3.349e-7
0.187, 3.371e-7
0.185, 3.388e-7
0.183, 3.406e-7
0.181, 3.424e-7
0.179, 3.439e-7
0.177, 3.458e-7
0.175, 3.473e-7
0.173, 3.492e-7
0.171, 3.511e-7
0.169, 3.526e-7
0.167, 3.541e-7
0.165, 3.555e-7
0.163, 3.574e-7
0.161, 3.591e-7
0.159, 3.605e-7
0.157, 3.619e-7
0.155, 3.639e-7
0.153, 3.651e-7
0.151, 3.668e-7
0.149, 3.683e-7
0.147, 3.699e-7
0.145, 3.717e-7
0.143, 3.730e-7
0.141, 3.745e-7
0.139, 3.761e-7
0.137, 3.777e-7
0.135, 3.795e-7
0.133, 3.809e-7
0.131, 3.827e-7
0.129, 3.845e-7
0.127, 3.854e-7
0.125, 3.873e-7
0.123, 3.894e-7
0.121, 3.910e-7
0.119, 3.926e-7
0.117, 3.942e-7
0.115, 3.959e-7
0.113, 3.978e-7
0.111, 3.994e-7
0.109, 4.011e-7
0.107, 4.030e-7
0.105, 4.044e-7
0.103, 4.062e-7
0.101, 4.077e-7
0.099, 4.095e-7
0.097, 4.113e-7
0.095, 4.128e-7
0.093, 4.144e-7
0.091, 4.163e-7
0.089, 4.177e-7
0.087, 4.192e-7
0.085, 4.207e-7
0.083, 4.223e-7
0.081, 4.241e-7
0.079, 4.258e-7
0.077, 4.268e-7
0.075, 4.286e-7
0.073, 4.301e-7
0.071, 4.315e-7
0.069, 4.330e-7
0.067, 4.346e-7
0.065, 4.370e-7
0.063, 4.378e-7
0.061, 4.390e-7
0.059, 4.406e-7
0.057, 4.420e-7
0.055, 4.433e-7
0.053, 4.448e-7
0.051, 4.459e-7
0.049, 4.476e-7
0.047, 4.488e-7
0.045, 4.503e-7
0.043, 4.517e-7
0.041, 4.530e-7
0.039, 4.541e-7
0.037, 4.551e-7
0.035, 4.567e-7
0.033, 4.581e-7
0.031, 4.592e-7
0.029, 4.605e-7
0.027, 4.622e-7
0.025, 4.630e-7
0.023, 4.645e-7
0.021, 4.657e-7
0.019, 4.673e-7
0.017, 4.688e-7
0.015, 4.700e-7
0.013, 4.712e-7
0.011, 4.726e-7
0.009, 4.741e-7
0.007, 4.755e-7
0.005, 4.768e-7
0.003, 4.784e-7
0.001, 4.800e-7
-0.001, 4.815e-7
-0.003, 4.829e-7
-0.005, 4.844e-7
-0.007, 4.852e-7
-0.009, 4.865e-7
-0.011, 4.881e-7
-0.013, 4.895e-7
-0.015, 4.910e-7
-0.017, 4.927e-7
-0.019, 4.943e-7
-0.021, 4.961e-7
-0.023, 4.976e-7
-0.025, 4.992e-7
-0.027, 5.007e-7
-0.029, 5.027e-7
-0.031, 5.045e-7
-0.033, 5.062e-7
-0.035, 5.078e-7
-0.037, 5.099e-7
-0.039, 5.114e-7
-0.041, 5.134e-7
-0.043, 5.150e-7
-0.045, 5.171e-7
-0.047, 5.192e-7
-0.049, 5.208e-7
-0.051, 5.227e-7
-0.053, 5.246e-7
-0.055, 5.268e-7
-0.057, 5.289e-7
-0.059, 5.310e-7
-0.061, 5.333e-7
-0.063, 5.356e-7
-0.065, 5.373e-7
-0.067, 5.399e-7
-0.069, 5.427e-7
-0.071, 5.450e-7
-0.073, 5.474e-7
-0.075, 5.498e-7
-0.077, 5.521e-7
-0.079, 5.548e-7
-0.081, 5.574e-7
-0.083, 5.599e-7
-0.085, 5.630e-7
-0.087, 5.659e-7
-0.089, 5.687e-7
-0.091, 5.713e-7
-0.093, 5.748e-7
-0.095, 5.780e-7
-0.097, 5.810e-7
-0.099, 5.840e-7
-0.101, 5.878e-7
-0.103, 5.911e-7
-0.105, 5.945e-7
-0.107, 5.980e-7
-0.109, 6.018e-7
-0.111, 6.059e-7
-0.113, 6.097e-7
-0.115, 6.129e-7
-0.117, 6.170e-7
-0.119, 6.212e-7
-0.121, 6.254e-7
-0.123, 6.297e-7
-0.125, 6.348e-7
-0.127, 6.394e-7
-0.129, 6.435e-7
-0.131, 6.485e-7
-0.133, 6.542e-7
-0.135, 6.590e-7
-0.137, 6.642e-7
-0.139, 6.699e-7
-0.141, 6.752e-7
-0.143, 6.814e-7
-0.145, 6.874e-7
-0.147, 6.938e-7
-0.149, 7.005e-7
-0.151, 7.072e-7
-0.153, 7.145e-7
-0.155, 7.212e-7
-0.157, 7.309e-7
-0.159, 7.403e-7
-0.161, 7.490e-7
-0.163, 7.576e-7
-0.165, 7.660e-7
-0.167, 7.745e-7
-0.169, 7.838e-7
-0.171, 7.926e-7
-0.173, 8.018e-7
-0.175, 8.130e-7
-0.177, 8.241e-7
-0.179, 8.356e-7
-0.181, 8.485e-7
-0.183, 8.617e-7
-0.185, 8.750e-7
-0.187, 8.891e-7
-0.189, 9.058e-7
-0.191, 9.224e-7
-0.193, 9.367e-7
-0.195, 9.532e-7
-0.197, 9.714e-7
-0.199, 9.903e-7
-0.199, 8.717e-7
-0.197, 7.560e-7
-0.195, 6.938e-7
-0.193, 6.447e-7
-0.191, 6.033e-7
-0.189, 5.653e-7
-0.187, 5.309e-7
-0.185, 4.998e-7
-0.183, 4.710e-7
-0.181, 4.434e-7
-0.179, 4.184e-7
-0.177, 3.940e-7
-0.175, 3.722e-7
-0.173, 3.508e-7
-0.171, 3.306e-7
-0.169, 3.118e-7
-0.167, 2.944e-7
-0.165, 2.773e-7
-0.163, 2.608e-7
-0.161, 2.454e-7
-0.159, 2.308e-7
-0.157, 2.172e-7
-0.155, 2.039e-7
-0.153, 1.916e-7
-0.151, 1.790e-7
-0.149, 1.673e-7
-0.147, 1.560e-7
-0.145, 1.451e-7
-0.143, 1.352e-7
-0.141, 1.253e-7
-0.139, 1.155e-7
-0.137, 1.066e-7
-0.135, 9.810e-8
-0.133, 8.927e-8
-0.131, 8.114e-8
-0.129, 7.311e-8
