Sept. 5, 2019   16:20:02
Cyclic Voltammetry
File: c:\users\1\desktop\2019Data Source:  Experiment
Instrument Model:  CHI630E
Header: 
Note: 

Init E (V) = -0.2
High E (V) = 1
Low E (V) = -0.2
Init P/N = P
Scan Rate (V/s) = 0.02
Segment = 2
Sample Interval (V) = 0.002
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Segment 1:
Ep = 0.317V
ip = -2.918e-5A
Ah = -1.444e-4C

Segment 2:

Potential/V, Current/A

-0.199, 8.723e-7
-0.197, 7.974e-7
-0.195, 7.481e-7
-0.193, 7.056e-7
-0.191, 6.689e-7
-0.189, 6.325e-7
-0.187, 6.016e-7
-0.185, 5.720e-7
-0.183, 5.434e-7
-0.181, 5.148e-7
-0.179, 4.891e-7
-0.177, 4.638e-7
-0.175, 4.398e-7
-0.173, 4.174e-7
-0.171, 3.952e-7
-0.169, 3.758e-7
-0.167, 3.556e-7
-0.165, 3.362e-7
-0.163, 3.176e-7
-0.161, 3.003e-7
-0.159, 2.828e-7
-0.157, 2.647e-7
-0.155, 2.474e-7
-0.153, 2.319e-7
-0.151, 2.169e-7
-0.149, 2.004e-7
-0.147, 1.858e-7
-0.145, 1.714e-7
-0.143, 1.588e-7
-0.141, 1.459e-7
-0.139, 1.320e-7
-0.137, 1.204e-7
-0.135, 1.082e-7
-0.133, 9.832e-8
-0.131, 8.713e-8
-0.129, 7.642e-8
-0.127, 6.618e-8
-0.125, 5.436e-8
-0.123, 4.609e-8
-0.121, 3.529e-8
-0.119, 2.600e-8
-0.117, 1.654e-8
-0.115, 8.666e-9
-0.113, -1.261e-9
-0.111, -8.981e-9
-0.109, -1.804e-8
-0.107, -2.537e-8
-0.105, -3.332e-8
-0.103, -4.034e-8
-0.101, -4.924e-8
-0.099, -5.609e-8
-0.097, -6.381e-8
-0.095, -7.138e-8
-0.093, -7.870e-8
-0.091, -8.548e-8
-0.089, -9.076e-8
-0.087, -9.816e-8
-0.085, -1.056e-7
-0.083, -1.116e-7
-0.081, -1.185e-7
-0.079, -1.248e-7
-0.077, -1.295e-7
-0.075, -1.370e-7
-0.073, -1.429e-7
-0.071, -1.475e-7
-0.069, -1.537e-7
-0.067, -1.585e-7
-0.065, -1.642e-7
-0.063, -1.695e-7
-0.061, -1.747e-7
-0.059, -1.810e-7
-0.057, -1.858e-7
-0.055, -1.904e-7
-0.053, -1.955e-7
-0.051, -2.005e-7
-0.049, -2.066e-7
-0.047, -2.113e-7
-0.045, -2.157e-7
-0.043, -2.211e-7
-0.041, -2.253e-7
-0.039, -2.284e-7
-0.037, -2.340e-7
-0.035, -2.386e-7
-0.033, -2.429e-7
-0.031, -2.471e-7
-0.029, -2.508e-7
-0.027, -2.559e-7
-0.025, -2.600e-7
-0.023, -2.651e-7
-0.021, -2.679e-7
-0.019, -2.729e-7
-0.017, -2.773e-7
-0.015, -2.803e-7
-0.013, -2.840e-7
-0.011, -2.890e-7
-0.009, -2.916e-7
-0.007, -2.960e-7
-0.005, -2.997e-7
-0.003, -3.032e-7
-0.001, -3.063e-7
0.001, -3.091e-7
0.003, -3.145e-7
0.005, -3.170e-7
0.007, -3.211e-7
0.009, -3.233e-7
0.011, -3.286e-7
0.013, -3.315e-7
0.015, -3.351e-7
0.017, -3.378e-7
0.019, -3.407e-7
0.021, -3.441e-7
0.023, -3.483e-7
0.025, -3.514e-7
0.027, -3.545e-7
0.029, -3.583e-7
0.031, -3.617e-7
0.033, -3.635e-7
0.035, -3.681e-7
0.037, -3.716e-7
0.039, -3.748e-7
0.041, -3.782e-7
0.043, -3.816e-7
0.045, -3.853e-7
0.047, -3.876e-7
0.049, -3.904e-7
0.051, -3.947e-7
0.053, -3.993e-7
0.055, -4.024e-7
0.057, -4.071e-7
0.059, -4.113e-7
0.061, -4.139e-7
0.063, -4.190e-7
0.065, -4.230e-7
0.067, -4.284e-7
0.069, -4.339e-7
0.071, -4.390e-7
0.073, -4.431e-7
0.075, -4.491e-7
0.077, -4.552e-7
0.079, -4.622e-7
0.081, -4.691e-7
0.083, -4.769e-7
0.085, -4.855e-7
0.087, -4.955e-7
0.089, -5.059e-7
0.091, -5.167e-7
0.093, -5.303e-7
0.095, -5.445e-7
0.097, -5.586e-7
0.099, -5.748e-7
0.101, -5.931e-7
0.103, -6.145e-7
0.105, -6.363e-7
0.107, -6.618e-7
0.109, -6.877e-7
0.111, -7.215e-7
0.113, -7.557e-7
0.115, -7.931e-7
0.117, -8.349e-7
0.119, -8.818e-7
0.121, -9.317e-7
0.123, -9.881e-7
0.125, -1.050e-6
0.127, -1.117e-6
0.129, -1.193e-6
0.131, -1.274e-6
0.133, -1.363e-6
0.135, -1.461e-6
0.137, -1.566e-6
0.139, -1.678e-6
0.141, -1.797e-6
0.143, -1.930e-6
0.145, -2.074e-6
0.147, -2.231e-6
0.149, -2.396e-6
0.151, -2.574e-6
0.153, -2.763e-6
0.155, -2.963e-6
0.157, -3.177e-6
0.159, -3.403e-6
0.161, -3.641e-6
0.163, -3.878e-6
0.165, -4.140e-6
0.167, -4.414e-6
0.169, -4.703e-6
0.171, -5.003e-6
0.173, -5.317e-6
0.175, -5.642e-6
0.177, -5.973e-6
0.179, -6.321e-6
0.181, -6.678e-6
0.183, -7.048e-6
0.185, -7.430e-6
0.187, -7.826e-6
0.189, -8.225e-6
0.191, -8.632e-6
0.193, -9.045e-6
0.195, -9.469e-6
0.197, -9.898e-6
0.199, -1.034e-5
0.201, -1.078e-5
0.203, -1.124e-5
0.205, -1.169e-5
0.207, -1.216e-5
0.209, -1.262e-5
0.211, -1.310e-5
0.213, -1.357e-5
0.215, -1.405e-5
0.217, -1.453e-5
0.219, -1.501e-5
0.221, -1.550e-5
0.223, -1.599e-5
0.225, -1.648e-5
0.227, -1.697e-5
0.229, -1.745e-5
0.231, -1.793e-5
0.233, -1.841e-5
0.235, -1.890e-5
0.237, -1.937e-5
0.239, -1.984e-5
0.241, -2.031e-5
0.243, -2.077e-5
0.245, -2.123e-5
0.247, -2.169e-5
0.249, -2.214e-5
0.251, -2.258e-5
0.253, -2.302e-5
0.255, -2.345e-5
0.257, -2.387e-5
0.259, -2.428e-5
0.261, -2.468e-5
0.263, -2.507e-5
0.265, -2.545e-5
0.267, -2.581e-5
0.269, -2.616e-5
0.271, -2.650e-5
0.273, -2.684e-5
0.275, -2.715e-5
0.277, -2.745e-5
0.279, -2.774e-5
0.281, -2.801e-5
0.283, -2.826e-5
0.285, -2.851e-5
0.287, -2.873e-5
0.289, -2.894e-5
0.291, -2.914e-5
0.293, -2.931e-5
0.295, -2.947e-5
0.297, -2.962e-5
0.299, -2.975e-5
0.301, -2.987e-5
0.303, -2.997e-5
0.305, -3.005e-5
0.307, -3.013e-5
0.309, -3.018e-5
0.311, -3.023e-5
0.313, -3.026e-5
0.315, -3.027e-5
0.317, -3.028e-5
0.319, -3.027e-5
0.321, -3.025e-5
0.323, -3.022e-5
0.325, -3.019e-5
0.327, -3.014e-5
0.329, -3.008e-5
0.331, -3.002e-5
0.333, -2.994e-5
0.335, -2.986e-5
0.337, -2.977e-5
0.339, -2.967e-5
0.341, -2.958e-5
0.343, -2.947e-5
0.345, -2.936e-5
0.347, -2.924e-5
0.349, -2.913e-5
0.351, -2.900e-5
0.353, -2.887e-5
0.355, -2.875e-5
0.357, -2.861e-5
0.359, -2.847e-5
0.361, -2.834e-5
0.363, -2.820e-5
0.365, -2.806e-5
0.367, -2.792e-5
0.369, -2.777e-5
0.371, -2.763e-5
0.373, -2.749e-5
0.375, -2.734e-5
0.377, -2.719e-5
0.379, -2.705e-5
0.381, -2.690e-5
0.383, -2.676e-5
0.385, -2.661e-5
0.387, -2.647e-5
0.389, -2.632e-5
0.391, -2.618e-5
0.393, -2.604e-5
0.395, -2.590e-5
0.397, -2.576e-5
0.399, -2.561e-5
0.401, -2.548e-5
0.403, -2.534e-5
0.405, -2.521e-5
0.407, -2.507e-5
0.409, -2.493e-5
0.411, -2.480e-5
0.413, -2.467e-5
0.415, -2.454e-5
0.417, -2.441e-5
0.419, -2.428e-5
0.421, -2.415e-5
0.423, -2.403e-5
0.425, -2.390e-5
0.427, -2.378e-5
0.429, -2.366e-5
0.431, -2.354e-5
0.433, -2.341e-5
0.435, -2.329e-5
0.437, -2.318e-5
0.439, -2.306e-5
0.441, -2.295e-5
0.443, -2.283e-5
0.445, -2.272e-5
0.447, -2.261e-5
0.449, -2.251e-5
0.451, -2.240e-5
0.453, -2.229e-5
0.455, -2.219e-5
0.457, -2.209e-5
0.459, -2.199e-5
0.461, -2.189e-5
0.463, -2.179e-5
0.465, -2.169e-5
0.467, -2.160e-5
0.469, -2.151e-5
0.471, -2.142e-5
0.473, -2.132e-5
0.475, -2.123e-5
0.477, -2.115e-5
0.479, -2.106e-5
0.481, -2.097e-5
0.483, -2.088e-5
0.485, -2.080e-5
0.487, -2.071e-5
0.489, -2.063e-5
0.491, -2.056e-5
0.493, -2.047e-5
0.495, -2.039e-5
0.497, -2.032e-5
0.499, -2.024e-5
0.501, -2.016e-5
0.503, -2.009e-5
0.505, -2.002e-5
0.507, -1.995e-5
0.509, -1.987e-5
0.511, -1.980e-5
0.513, -1.973e-5
0.515, -1.967e-5
0.517, -1.960e-5
0.519, -1.953e-5
0.521, -1.948e-5
0.523, -1.942e-5
0.525, -1.935e-5
0.527, -1.929e-5
0.529, -1.923e-5
0.531, -1.916e-5
0.533, -1.910e-5
0.535, -1.904e-5
0.537, -1.898e-5
0.539, -1.893e-5
0.541, -1.887e-5
0.543, -1.881e-5
0.545, -1.875e-5
0.547, -1.870e-5
0.549, -1.864e-5
0.551, -1.859e-5
0.553, -1.854e-5
0.555, -1.849e-5
0.557, -1.843e-5
0.559, -1.838e-5
0.561, -1.833e-5
0.563, -1.828e-5
0.565, -1.823e-5
0.567, -1.818e-5
0.569, -1.813e-5
0.571, -1.808e-5
0.573, -1.804e-5
0.575, -1.799e-5
0.577, -1.795e-5
0.579, -1.790e-5
0.581, -1.785e-5
0.583, -1.781e-5
0.585, -1.777e-5
0.587, -1.772e-5
0.589, -1.768e-5
0.591, -1.764e-5
0.593, -1.760e-5
0.595, -1.756e-5
0.597, -1.752e-5
0.599, -1.748e-5
0.601, -1.744e-5
0.603, -1.740e-5
0.605, -1.736e-5
0.607, -1.732e-5
0.609, -1.728e-5
0.611, -1.725e-5
0.613, -1.721e-5
0.615, -1.717e-5
0.617, -1.714e-5
0.619, -1.710e-5
0.621, -1.707e-5
0.623, -1.703e-5
0.625, -1.700e-5
0.627, -1.696e-5
0.629, -1.693e-5
0.631, -1.689e-5
0.633, -1.686e-5
0.635, -1.683e-5
0.637, -1.679e-5
0.639, -1.676e-5
0.641, -1.673e-5
0.643, -1.670e-5
0.645, -1.667e-5
0.647, -1.664e-5
0.649, -1.661e-5
0.651, -1.658e-5
0.653, -1.655e-5
0.655, -1.652e-5
0.657, -1.649e-5
0.659, -1.646e-5
0.661, -1.643e-5
0.663, -1.640e-5
0.665, -1.637e-5
0.667, -1.634e-5
0.669, -1.632e-5
0.671, -1.629e-5
0.673, -1.626e-5
